Variable,Original,Translation
clothier|feats.k,The quality of fabrics counts as if {0}% higher in all your crafts.,
clothier|specialization.k,Further increases the effective quality by {0}% for each specialization point.,
madchemist,On-hit effects of chemical pistols you craft are twice as strong.,
weaponsmith,Non-fist melee weapons that you craft have {0}% higher critical hit chance.,
practicalphysicist,Critical damage bonus of energy weapons you craft is increased by {0}% (additive).,
ballistics|feats.k,Carrier vests give additional {0} mechanical damage threshold when used in crafting.,
ballistics|specialization.k,Further increases the bonus mechanical threshold by {0} for each specialization point.,
neurology,Psi headbands you craft also provide additional {0} maximum psi points.,
elementalbolts,"Increases electrical, acid and heat damage of all special bolts by {0}%.",
elementalbolts-xpbl,"Increases electrical, acid, heat and energy damage of all special bolts by {0}%.",
concussiveshots,"When you deal mechanical damage with your crossbow bolts you have {0}% chance to daze living targets, reducing their action points by {1} and movement points by {2} for {3}.",
meditation,Maximum psi points increased by {0}.,
neuraloverclocking,Critical damage bonus of all psi abilities increased by {0}%.,
psionicmania|feats.k,"Grants you an ability that when activated makes your next offensive psi ability an automatic critical hit. Activating this ability will also remove up to {0}% of your maximum health, but cannot kill you.\n\nCooldown: {1}.",
psionicmania|specialabilities.k,"When activated makes your next offensive psi ability an automatic critical hit. Activating this ability will also remove up to {0}% of your maximum health, but cannot kill you.",
psionicmania|statuseffects.k,Character's next offensive psi ability will be an automatic critical hit.,
telekineticundulation,"When you damage a living target by moving your telekinetic proxy, there's {0}% chance it will be dazed for {1}.",
corporealprojection,All telekinetic damage increased by {0}% for each point of strength above {1}.,
psychostaticelectricity|feats.k,When you damage a target with your electrical psionics you apply a debuff that increases the chance for the target to be critically hit by weapon and unarmed attacks and psi abilities by {0}% for {1}. Stacks {2} times.,
psychostaticelectricity|statuseffects.k,Chance to get critically hit from weapon and unarmed attacks and psi abilities increased by {0}%.,
echoingsoliloquy,Slows down the rate at which the unspeakable things penetrate your mind.,
fisherman,You never fail to reel the catch in.,
temperedheat,Reduces all heat damage taken by {0}%.,
temperedcold,Reduces all cold damage taken by {0}%.,
temperedacid,Reduces all acid damage taken by {0}%.,
temperedelectricity,Reduces all electrical damage taken by {0}%.,
advancedpsiempathy,Base health reduced by additional {0}% (additive to the original penalty) and psi cost of invoking psionic abilities reduced by {1}% (multiplicative).,
bodybuilding,Health increased by {0}.,
improveddodging,Increases the chance you'll dodge a melee attack by {0}% (additive).,
improvedevasion,Increases the chance you'll evade a ranged attack by {0}% (additive).,
improvedthrowing,Increases throwing precision by {0}% (additive).,
serialkiller,Unarmed and weapon damage increased by {0}% against humanoids.,
monsterslayer,Unarmed and weapon damage increased by {0}% against creatures.,
decommissioner,Unarmed and weapon damage increased by {0}% against machines.,
fightresponse,"When starting a turn below {0}% of maximum health, your action points are increased by {1}.",
flightresponse,"When starting a turn below {0}% of maximum health, your movement points are increased by up to {1} (depending on your armor penalty).",
stuntman,Reduces the damage taken from area of effect attacks by 20% (additive to regular evasion).,
bodyweighttraining,Reduces armor penalty by {0}%.,
majorsupplier,Increases the amount of money the merchants are willing to use when trading with you by {0}% per mercantile skill.,
mantra,Increases psi regeneration by {0}.,
shootingspree|feats.k,"Grants you an ability that when activated will cause your next sniper rifle attack to refund 100% of its action point cost if it kills the target. This will expire at the end of the turn if unused.\n\nCooldown: {1}.\n\nAlso, killing a target with a sniper rifle reduces the cooldown of Shooting Spree and Aimed Shot by {0}.",
shootingspree|specialabilities.k,When activated it will cause your next sniper rifle attack to refund 100% of its action point cost if it kills the target. This will expire at the end of the turn if unused.,
shootingspree|statuseffects.k,Your next sniper rifle attack will refund 100% of the action point cost if it kills the target.,
shootingspree-old,Killing a target with a sniper rifle reduces the cooldown of Aimed Shot by {0}.,
strafe|feats.k,Reduces move and shoot penalty by {0}%.,
strafe|specialization.k,Further reduces move and shoot penalty by {0}% for each specialization point.,
bowyer,Crossbows that you craft have their critical damage bonus increased by {0}% (additive).,
brutality,"When you kill a target with a melee attack, there's a {0}% chance to instill fear in each nearby enemy for {1}.",
shieldarm,Increases the chance to block with shields by {0}% (additive) and the amount blocked by {1}%.,
triggerhappy|feats.k,Initiative increased by {0}.,
triggerhappy|specialization.k,Further increases initiative by {0} for each specialization point.,
hemopsychosis|feats.k,Grants you an ability that when activated will make all your psi abilities cost health instead of psi until the end of the turn.\n\nCooldown: {0}.,
hemopsychosis|specialabilities.k,When activated will make all your psi abilities cost health instead of psi until the end of the turn.,
hemopsychosis|statuseffects.k,Your psi abilities cost health instead of psi points.,
blindsiding|feats.k,Increases unarmed and weapon attack damage by {0}% while in stealth and one turn after exiting stealth.,
blindsiding|statuseffects.k,Unarmed and weapon damage increased by {0}%.,
continuumripple,"When your temporal distortion triggers, it has {0}% chance to be applied to each nearby enemy. Distortions that came about in this way can now themselves trigger further distortions.",
psychotemporalacceleration,Increases action point modification of all psycho-temporal effects by {0} and increases their duration by {1}.,
futureorientation,"Reduces cooldowns of all temporal manipulation psi abilities that have cooldown by {0}, and increases action point cost for those psi abilities by {1}, providing they have action point cost.",
fend|feats.k,Grants you an ability to immediately gain Spear Guard that can block {0}% more damage than normal for {1}% of the action point cost of a regular attack.\n\nCooldown: {2}.,
fend|specialabilities.k,Instantly grants you Spear Guard status effect that can block {0}% more damage than normal (with current spear and skill {1}).,
spearguardian|feats.k,Increases the block chance of Spear Guard by {0}%.,
spearguardian|specialization.k,Increases the block chance bonus by {0}% for each specialization point.,
impale|feats.k,Grants you a special attack with the spear that automatically critically hits if it lands.\n\nCooldown: {0}.,
impale|specialattacks.k,Perform a special attack with a spear that automatically critically hits if it lands.,
flurry|feats.k,"Grants you an ability to launch {0} consecutive attacks with a sword. Each attack reduces the action point cost of further Flurry activations by {1} action points (this stacks {2} times) until the end of next turn. \n\nIf any of the attacks misses or deals no damage, the flurry will stop and be put on cooldown for {3} and the cost reduction will be removed.",
flurry|specialattacks.k,"Launches {0} consecutive attacks with a sword. Each attack reduces the action point cost of further Flurry activations by {1} action points (this stacks {2} times) until the end of next turn. \n\nIf any of the attacks misses or deals no damage, the flurry will stop and be put on cooldown for {3} and the cost reduction will be removed.",
flurry|statuseffects.k,Reduces action point cost of Flurry by {0}.,
flurry-old|feats.k,"Grants you an ability to launch {0} consecutive attacks with a sword with reduced precision. Each attack reduces the action point cost of further Flurry activations by {1} action points (this stacks {2} times) until the end of next turn. \n\nIf any of the attacks misses or deals no damage, the flurry will stop and be put on cooldown for {3} and the cost reduction will be removed.",
flurry-old|specialattacks.k,"Launches {0} consecutive attacks with a sword with reduced precision. Each attack reduces the action point cost of further Flurry activations by {1} action points (this stacks {2} times) until the end of next turn. \n\nIf any of the attacks misses or deals no damage, the flurry will stop and be put on cooldown for {3} and the cost reduction will be removed.",
spearthrow,"Grants you the ability to throw a spear at the target, dealing {0}%, plus additional {1}% per unit of range, of normal weapon damage. The precision of this attack is dependent on throwing skill. Costs {2} action points.\n\nCooldown: {3}.\n\nYou will usually be able to retrieve the thrown spear afterwards, as it lands nearby the target, at no action point cost.",
onslaught|feats.k,Your successful sword attacks increase the damage of further sword attacks by {0}% for {1}. Stacks {2} times. This bonus will be removed if a sword attack misses or does no damage.,
onslaught|statuseffects.k,Increases damage done by swords by {0}%. Will be removed if an attack misses or does no damage.,
decapitate|feats.k,Grants you a special sword attack that deals {0}% of normal weapon damage and can instantly kill a living target if it deals more than {1}% of its remaining health (providing the target has an exposed head).\n\nCooldown: {2}.,
decapitate|specialattacks.k,Perform a special sword attack that deals {0}% of normal weapon damage and can instantly kill a living target if it deals more than {1}% of its remaining health (providing the target has an exposed head).,
riposte|feats.k,"When you block any damage while holding a sword, you can perform a special sword attack with increased chance to hit that deals normal weapon damage at no action point cost.",
riposte|specialattacks.k,Perform a special sword attack with increased chance to hit that deals normal weapon damage and costs no action points. Only becomes available after any amount damage is blocked while holding a sword.,
riposte|statuseffects.k,This character can perform a free sword attack.,
leadingshot|feats.k,Your shotgun attacks ignore {0}% of target's evasion as long as there are no enemies in melee range to disrupt you.,
leadingshot|specialization.k,Additively increases the amount of evasion ignored by additional {0}% for each specialization point.,
barrelstare,Increases the damage done by your shotgun attacks to targets at close (near-melee) range by {0}%.,
perfectscattering|feats.k,Each shotgun pellet you fire does additional {0} to {1} points of mechanical damage.,
perfectscattering|specialization.k,Increases the maximum bonus damage by {0} for each specialization point.,
fragmentedchaos,Increases critical damage bonus of your shotgun attacks by {0}% divided by number of pellets fired.,
pelletmayhem|feats.k,Your shotgun attacks grant you additional {0}% critical chance for each target you hit for the next shotgun shot.,
pelletmayhem|statuseffects.k,Your next shotgun attack will have the critical hit chance increased by {0}%.,
philosophy1,Dipping your feet into philosophy has given you a fresh outlook on life.\n\nIncreases resolve by {0} and maximum psi points by {1}.,
philosophy2,"You might not be a fully trained philosopher, but you have a good grasp of the essentials.\n\nIncreases resolve by {0} and maximum psi points by {1}.",
philosophy3,You are starting to put the pieces together... There might yet be some meaning behind this wretched existence.\n\nIncreases resolve by {0} and maximum psi points by {1}.,
hightechnicalities,Increases damage done by energy weapons by {0}% for each intelligence point above {1}.,
parry,"While holding a sword or a knife, the character has {0}% plus {1}% per point of dexterity above {2} chance to block a melee attack. The amount blocked is equal to the average base mechanical damage of the current weapon in case of swords and twice that for knives.",
navalcombat,Increases effective stability by {0}% and maneuverability by {1}% when piloting jet skis. Reduces action point cost of disembarking by {2}. Also increases precision of mounted jet ski weapons for those unproficient with guns.,
improvednavalcombat,Further increases effective stability by {0}% and maneuverability by {1}% when piloting jet skis. Further reduces action point cost of disembarking by {2}. Also increases precision of mounted jet ski weapons for those unproficient with guns.,
jetandjab,"Removes the additional {0}% precision penalty with knife, fist weapon and unarmed attacks when riding jet skis.",
navaljousting,Increases damage with spears when riding jet skis by 30%,
seadog,Increases unarmed and weapon damage by {0}% and effective stability and maneuverability by {1}% when attacking from a jet ski.,
versatility|feats.k,"Your effective Guns, Crossbows and Melee skill value is brought up to {0}% of the effective value of the highest of those skills.",
versatility|specialization.k,Further increases the percentage of the skill value used by {0}% for each specialization point.,
versatility-xphw,"Your effective Guns, Heavy Guns, Crossbows and Melee skill value is brought up to {0}% of the effective value of the highest of those skills.",
scrutinous,Increases critical chance of unarmed and weapon attacks by {0}%.,
expertsprint,Sprint now also grants you {0} action points.,
increasedbaseability,{0} increased by {1}. This feat increases the base value of {2} and will count towards other feat requirements.,
strider,Increase unstealthed movement points by {0} and out of combat unstealthed movement speed by {1}%.,
ironwill,Increases resolve by {0}%.,
improvedunarmedcombat,Increases unarmed damage by {0}% and gives your unarmed attack {1}% chance to daze the target for {2}.,
expertunarmedcombat,Further increases unarmed damage by {0}% and gives your unarmed attack {1}% chance to stun the organic target for {2}.,
empoweredinvocation|feats.k,"Grants you the empowered invocation ability that increases the {0} skill by {1}% until the end of the turn, but drains away all the remaining psi points afterwards.\n\nCooldown: {2}.",
empoweredinvocation|specialabilities.k,"When activated increases the {0} skill by {1}% until the end of the turn, but drains away all the remaining psi points afterwards.",
empoweredinvocation|statuseffects.k,"{0} skill increased by {1}%. When this effect expires, the character will lose all psi points.",
shieldbash|feats.k,Grants you a melee attack that deals mechanical damage equal to {0}%-{1}% of the amount blocked by the carried riot shield and dazes the target for {2}.\n\nCooldown: {3}.,
shieldbash|specialattacks.k,Perform a special attack with your riot shield that deals {0} damage if it lands as well as dazes the target for {1}.,
boardingup|feats.k,Landing a melee attack while wearing a riot shield increases the amount blocked by the riot shield by {0}% for {1}. Stacks up to {2} times.,
boardingup|specialization.k,Increases the block amount by additional {0}% per stack for each specialization point.,
sweep|feats.k,Grants you a special spear attack with deals {0}% of normal weapon damage to all enemies adjacent to you and puts living targets off balance for {1} if they are hit.\n\nOff-balanced characters have their dodge and evasion reduced to zero.\n\nCooldown: {2}.,
sweep|specialattacks.k,Perform a special spear attack that deals {0}% of normal weapon damage to all enemies adjecent to you and puts living targets off balance for {1} if they are hit.,
bodyhorror,"After what you have seen, you'll never look at the fleshly form the same again.\n\nCritical hit chance with weapons and unarmed attacks against humanoids and non-insectoid critters increased by {0}%. Resolve reduced by {1}%.",
outervisions,"You've seen the wonderous possibilities of the Outer Expanses, both the beautiful and the abominable, and you're now less inclined to believe in the necessity of the limits of this particular physical world.\n\nRange of all psi abilities increased by {0}.",
irongrip|feats.k,"Allows you to wield spears in one hand when wearing a suit of armor with a riot shield, but at {0}% penalty to weapon damage.",
irongrip|specialization.k,Reduces the damage penalty by {0}% for each specialization point.,
sixthshell,"Each shotgun shot will grant {0}% bonus damage to shotgun attacks. When stacked up to 5, this damage bonus will change to {1}% and after the sixth attack the bonus will reset.",
forcefullinnervation,"You conditioned your mind for psionic powers the raw way and it left its mark on you. You use your Will base ability instead of Intelligence to determine the number of psi slots, but your max psi points are reduced by {0}.\n\nYou obtained the rare golden pill that might undo this, but you are not sure if you should use it.",
psychoneuraloptimization|feats.k,"While having only one psi school innervated, the psi cost of all abilities is reduced by {0}%.",
psychoneuraloptimization|specialization.k,Further reduces the psi cost by {0}% for each specialization point.,
psychoneuralflexibility,One psi school is ignored when determining the multi-school innervation psi cost penalty.,
expandedpsicapacitance|feats.k,Psi reserves increased by {0}%.,
expandedpsicapacitance|specialization.k,Psi reserves bonus further increased by {0}% for each specialization point.,
tattooprotectorate,"At ease, Corporal.\n\nIncreases health by {0}%.",
tattoojkk,You are one tactful operative.\n\nIncreases persuasion skill by {0}.,
tattooanarchy,You bow to no authority.\n\nIncreases chance to critically hit with weapon and unarmed attacks by {0}%.,
tattoocoretech,State-of-the-art equipment amounts to a state-of-the-art agent.\n\nIncreases mechanics and electronics skills by {0}.,
tattoopraetoriansecurity,Order through strength.\n\nDecreases chance to get critically hit by weapon and unarmed attacks by {0}%.,
tattooaegisincorporated,"You will go anywhere, provided it be forward.\n\nIncreases all offensive skills by {0}.",
tattoomagnarghost,"The king is dead, long live the king!\n\nIncreases dodge and evasion by {0}.",
tattooshadowlith,"The monoliths malicious influence has been removed, but not from your skin.\n\nIncreases psi regeneration by {0}.",
tattoothebeast,To be Man is to fight monsters.\n\nUnarmed and weapon damage increased by {0}% against creatures.,
tattootchort,"Whether it was a monster or a god, it's dead now.\n\nIncreases resolve by {0}%, but reduces detection by {1}%.",
tattootchortinstitute,Tchort is evolution. Evolution is Tchort.\n\nIncreases biology and chemistry skills by {0}.,
tattoobalorseye,The only thing this electric eye couldn't see is Balor's untimely demise.\n\nIncreases detection by {0}%.,
tattoosgs,There's no station like home station.\n\nIncreases all skills by {0}.,
tattoopirate,Sometimes you just have to hoist the black flag and start slitting throats.\n\nIncreases all offensive and defensive skills by {0}% while riding a jet ski.,
tattoodrifter,"You can't seem to settle anywhere. Just as soon as you get involved with a faction or a place, something urges you to move on.\n\nIncreases movement speed by {0}% and movement points by {1} when not in stealth.",
tattoojeteater,The caustic stench of the vile fluid is ever with you and your skin tingles with memories of pain.\n\nIncreases acid damage threshold by {0}.,
tattoofatso,Eat and drink your fill. Gorge yourself on the cave's bounty. Become large.\n\nDuration of food items increased by {0} minutes.,
tattooblackcrawler,You can still make out its large red eyes if you stare into the darkest corners of Underrail long enough.\n\nStealth increased by {0}% of base value.,
tattooabomination,"Life force - primordial, lasting, potent - twisted into a gruesome form.\n\nChanges the health percentage above which you receive natural regeneration to {0}%.",
tattooskulljacked,"Spiralling grooves, a threaded tunnel, from machine to man.\n\nIncreases critical chance of psionic abilities by {0} while wearing armor suit with (unmodified) armor penalty of {1} or higher.",
tattoovoidbattle,You are a veteran of astral warfare!\n\nResolve increased by {0}.,
monstrousyell,Your Yell makes such a disturbing sound that it also has {0}% chance to to instill fear for {1}.,
cohesivemucusglands,Allows you to spit acid blobs that damage and entangle your targets.,
gunfu|feats.k,"When attacking with firearm pistols in melee range, your effective attack skill is increased by {0}% of your unmodified melee skill for all purposes, including the damage done.",
gunfu|specialization.k,Further increases the percentage of the skill value used by {0}% for each specialization point.,
bullettime|feats.k,"When activated, reduces action point cost of firing firearm pistols by {0}% until the end of the turn. \n\nCannot reduce the action point cost below the hard minimum.\n\nCooldown: {1}.",
bullettime|specialabilities.k,"When activated, reduces action point cost of firing firearm pistols by {0}% until the end of the turn.",
bullettime|specialization.k,Further reduces action point cost by {0}% (additive) for each specialization point.,
bullettime|statuseffects.k,Reduces action point cost of firing firearm pistols by {0}%. Cannot reduce the action point cost below the hard minimum.,
remotesurgeon|feats.k,Increases the unresisted damage modifier of throwing knives by additional {0}%.,
remotesurgeon|specialization.k,Further increases the unresisted damage modifier by {0}% (additive) for each specialization point.,
psychokineticelasticity,"Increases the range of your telekinetic psi abilities, and also the number of links in psychokinetic chains you produce, by one.",
beyondcold,"You've experienced that terrible feeling that lies on the other side of extreme cold, at the threshold of complete stillness, where the living body is drained of all energy.\n\nWhen chilled or frozen, you will gain a buff that will increase your will by {4}, reduce all the cold damage taken by {0}% and all the mechanical damage taken by {1}%, and make you immune to further chilling or freezing for {2}. This can occur only once every {3}.",
motioner,You abused this dangerous substance one too many times and now your brain has suffered long-term damage.\n\nYour intelligence is reduced by {0} and you occasionally suffer worse acute effects.,
shoemaker,The quality of leather counts as if {0}% higher when crafting leather boots.,
finetuned,"You're starting to develop an ear for the subtle differences in sound. In a world comprised largely of dark caves and metro tunnels, this is no small a boon.\n\nDetection increased by {0}%.",
heavymetal,"Reduces mechanical damage taken by 1% for each point of current weapon's strength requirement, and grants bonus percentage damage equal to {0}% of the total armor penalty when attacking with heavy guns. Only works when heavy guns or sledgehammers are equipped in both weapon slots and total armor penalty is {1}% or higher.",
bruteaim,Your Perception base ability is counted as being {0} points higher for the purpose of modifying the Heavy Guns skill.,
bullettrance|feats.k,Grants {0}% bonus damage to heavy gun attacks each time you kill an enemy with one of these weapons. Last {1} and stacks {2} times.,
bullettrance|statuseffects.k,This character does {0}% bonus damage when using heavy guns.,
practicedparabola|feats.k,Increases precision with grenade launchers by {0}% and reduces the maximum grenade miss distance by 1.,
practicedparabola|specialization.k,Increases the precision bonus by {0}% for each specialization point.,
trickytrajectory,Area of effect weapons deal {0}% bonus damage and ignore {1}% of target's evasion. This works with all non-thrown area of effect weapons.,
trickytrajectory-xpbl,"Area of effect weapons deal {0}% bonus damage and ignore {1}% of target's evasion. This works with all non-thrown area of effect weapons, including those mounted on vehicles.",
demolitionman,Getting hit by area of effect heat damage will grant {0}% bonus damage to your grenade launcher attacks for {1}. Stacks {2} times.,
gunnershigh|feats.k,"Whenever you deal damage to an enemy with a machine gun or minigun attack you gain an effect that heals you for one health each turn for {0} turns, but cannot heal above {1}% of your maximum health. Stacks {2} times.",
gunnershigh|statuseffects.k,"Heals {0} health per turn, but cannot heal above {1}% of maximum health.",
shellshock,All humanoids caught in the blast radius of your grenade launcher's grenade have their offensive and defensive skills reduced by {0} for {1}. This stacks {2} times.,
firebranded,"To your deepest shame, your buttocks are marked with an ugly image of a billy goat. \n\nMax hit chance with weapons and unarmed attacks reduced by {0}.",
flashbang|grenades.k,"Incapacitates everyone caught in the blast for {0} unless they resist the effect. Incapacitated targets will also immediately lose sight of you, allowing you to easily hide from them.",
flashbang|itemblueprints.k,You can create a flashbang grenade by filling a thin grenade case with magnesium powder.,
flashbang-old,"Incapacitates everyone caught in the blast for {0} seconds unless they resist the effect. Incapacitated targets will also immediately lose sight of you, allowing you to easily hide from them.",
stingball,Deals {0} damage to everyone caught in the blast and stuns living targets for {1} if they don't resist the damage.,
frag,"Everyone caught in the blast suffers {0} damage as well as damage from {1}-{2} shrapnel, each shrapnel dealing {3} damage. Targets closer to detonation have greater chance of receiving shrapnel.",
nailbomb,"Everyone caught in the blast gets hit by {0}-{1} nails, each dealing {2} damage and having {3}% chance to cause a bleeding wound that deals additional {4}% damage over {5}. Each bleeding wound also has {6}% chance to cause an infected wound that increases damage taken from all sources by {7}% and reduces healing effects by {8}% for the same duration (stacks {9} times).",
he,Everyone caught in the blast suffers {0} damage and {1} damage. Ignores {2}% of damage resistance and threshold.,
plasma,Everyone caught in the blast suffers {0} damage and {1} damage.,
emp,All automatons caught in the blast take {0} damage (this damage bypasses resistances and shields) and are stunned for {1} turns. All targets also have their electronic equipment immediately drained of all energy and receive electrical damage equal to {2}% of energy drained.,
molotov,"Everyone caught in the blast suffers {0} damage and has {1}% chance to catch fire, suffering additional {2}% of the original damage over {3}. The fuel from the cocktail sets the ground on fire. Creatures standing in the fire suffer heat damage equal to {4}%-{5}% of their maximal health (up to maximum of {6}-{7}), plus additional {8}-{9}, depending on the intensity of fire at that spot, while creatures moving through the fire suffer one third of that damage per tile.",
toxicgas,"Throw a gas grenade to the ground where it remains for {0}, releasing toxic gas that deals {1} damage per turn (depending on the gas concentration) to anyone standing in it and one third that damage to those passing through it. Living creatures exposed to the toxic gas become contaminated, which causes them to take as much as {2}% more damage from all sources.",
psimorphicbiocide,"Throw a gas grenade to the ground where it remains for {0}, releasing toxic gas that deals {1} damage per turn (depending on the gas concentration) to anyone standing in it and one third that damage to those passing through it. The gas also destroys any inert psimorphic biomass.",
cryogas,"Throw a gas grenade to the ground where it remains for {0}, releasing cryogenic gas that deals {1} damage per turn (depending on the gas concentration) to anyone standing in it, and applies Chill debuff which decreases target's movement points by {2} for {3}. It stacks up to {4} times.\n\nIt also causes hypothermia which reduces target's constitution by {5}. This effect stacks up to {6} times and lasts up to {7}. After hypothermia reaches maximum stacks, the target may become frozen for {8}.",
herbicidegas,"Throw a gas grenade to the ground where it remains for {0}, releasing toxic herbicidal gas that deals {1} damage per turn (depending on the gas concentration) to anyone standing in it and one third that damage to those passing through it. Does {2}% damage to insectoids and bypasses their poison resistance.",
chemhaze|grenades.k,"Throw a grenade that instantly spreads the ""chemhaze"" gas which reduces chance to hit with ranged weapons by up to {0}% and reduces chance to hit with melee weapons and unarmed attack by up to {1}%.",
chemhaze|statuseffects.k,Chance to hit with ranged weapons reduced by {0}% and chance to hit with melee weapons and unarmed attacks reduced by {1}%.,
electroboltchain,"There's a {0}% chance that original target is stunned for 1 turn, after which the electrical bolt jumps up to {1} times, each time dealing damage equal to {2}% of damage dealt to the previous target. It can hit the same target multiple times, but needs at least two targets to jump between.",
electroboltchainchance,"{0} chance to trigger the chain effect. When this happens there's a {1}% chance that the original target is stunned for 1 turn, after which the electrical bolt jumps up to {2} times, each time dealing damage equal to {3}% of damage dealt to the previous target. It can hit the same target multiple, but needs at least two targets to jump between.",
rustingacidsplash,Applies Rusting debuff which reduces durability of all mechanical items in target's posession by {0} per stack each turn for {1}. Stacks {2} times.,
leatherarmor,"Though they offer only light protection against mechanical attacks, leather armors often have other benefits based on the type of skin used in their crafting.",
psibooster|itemblueprints.k,"This concoction contains moderate levels of psycho-catalytic substances that enhance psionic regeneration with no known side effects. It requires the extract from Lacesso Gigantus mushroom, commonly known as 'Mindshroom'.",
psibooster|consumables.k,Immediately restores {0} psi.,
psiinhalant,"A disposable psi inhalant is the safest and most common way of replenishing psi reserves. It requires unsaturated psionic catalyst, pure oxygen and some sort of a filter.",
minddarts,"'Mind Dart' is a variation of psi booster with addition of toxic and hallucinogenic substances extracted from the Red Dream mushroom. This mixture is highly dangerous to the consumer and should be taken in multiple smaller doses (if at all). It provides an instant surge of psionic activity as well as increases psi regeneration greatly for a short period of time, but is inevitably followed by a long period of psionic withdrawal.",
shieldrecharger|itemblueprints.k,"While activate shield emitters cannot recharge their batteries by siphoning from their energy core, but they can however be recharged directly with adequate electromagnetic waves.\n\nShield recharger is a portable device that can emit these waves. It consists of two major parts: its own energy core and electromagnetic emitter.\n\nThis device also supports modulation.",
shieldrecharger|utilities.k,"Restores {0} shield to the target over {1} seconds, using up {2} energy.",
tntc,Timer triggered TNT charges are often used to clear up passages and bust open sealed doors of abandoned (or not so abandoned) stations to make way for scavengers.\n\nIt is easy to build and relatively inexpensive compared to its more powerful C-4 counterpart.,
gr,"There are two types of conventional explosive hand grenades: \n\n- Fragmentation (frag) grenade which is used as an anti-personnel weapon\n\n- High-explosive grenade which is primarily used against heavily armored targets.\n\nThe type of the grenade created is dictated by its case, while its power depends on the combination of explosive fillings used.",
xbow,"Although not as devastating as firearms or energy weapons, crossbow is still a dangerous device. The bolts it fires can be rigged with explosives or coated with poison, but are otherwise generally less efficient against heavily armored targets. On the other hand, since bolts fly at a relatively low speed they penetrate energy shields more easily.",
pistol|itemblueprints.k,"Pistols can be created from frame and barrel parts. The type and quality of the frame will determine the pistol's overall damage potential, while the barrel will dictate the payload. Not all frame types support all barrel types, however.\n\nA number of optional components can also be added to further enhance the weapon.",
pistol|weapons.k,This is a {0}caliber {1} type handgun.,
sniper|itemblueprints.k,"Sniper rifles can be created from frame, barrel and scope parts. The type and quality of the frame will determine the rifle's overall damage potential, while the barrel will dictate the payload. Scope will influence the rifle's precision, critical hit chance and other qualities.\n\nA number of optional components can also be added to further enhance the weapon.",
sniper|weapons.k,This is a {0}caliber {1} type sniper rifle.,
tacticalvest,Tactical vest is a type of ballistic vest intended to be used as personal armor when engaging in firearm combat. \n\nIt consists of ballistic panel placed inside a carrier vest and optionally reinforced with heavy metal or ceramic plates.,
riotgear,Riot armor is a special type of tactical armor that is efficient against both firearms and melee attacks.\n\nIt consists of ballistic panel placed inside a carrier vest. It may also include a shield for added protection against melee attacks and/or a coat.,
metalarmor,Metal armors provide excellent protection against mechanical attacks of all kinds and good protection against high energy attacks.\n\nWith right enhancements they can also be used offensively in melee combat.,
smg|itemblueprints.k,"Submachine gun, sometimes called personal defense weapon (PDW), is a compact automatic weapon.\n\nIt can be created from frame and barrel parts. The type and quality of the frame will determine the weapon's overall damage potential, while the barrel will dictate the payload. Not all frame types support all barrel types, however.\n\nA number of optional components can also be added to further enhance the weapon.",
smg|weapons.k,This is a {0}caliber {1} type submachine gun.,
sledgehammer|itemblueprints.k,Sledgehammer can be a powerful melee weapon in the hands of strong wielder.\n\nA powerful sledgehammer strike can send damaging mechanical waves even through the thickest of armors.\n\nIt can even carry some manner of power module for when the cold steel isn't enough.,
sledgehammer|ammo.k,Ignores mechanical damage threshold when attacking organic targets.,
sledgehammer|weapons.k,The sledgehammer can be a powerful melee weapon in the hands of a strong wielder.,
combatknife,Combat knives can be crafted out of any metal and come in number of different shapes depending on the mold used.\n\nThey are quick and deadly close quarters weapons against unarmored or unsuspecting targets.,
assaultrifle|itemblueprints.k,"Assault rifle is a light automatic rifle designed for mobile individual use.\n\nIt can be created from frame and barrel parts. The type and quality of the frame will determine the weapon's overall damage potential, while the barrel will dictate the payload. Not all frame types support all barrel types, however.\n\nA number of optional components can also be added to further enhance the weapon.",
assaultrifle|weapons.k,This is a {0}caliber {1} type assault rifle.,
energypistol|itemblueprints.k,"Energy weapons are generally less devastating than firearms, but they are more precise and can easily pierce most armor types.\n\nEnergy pistol can be constructed from an energy projector, such as laser emitter or plasma discharger, and energy core. The quality of the former affects the output power, while the latter determines battery capacity.",
energypistol|weapons.k,This {0} is powered by a {1}.,
chemicalpistol,"Chemical pistol can be crafted by mounting a chemical collector and a dispenser onto a special pistol frame. \n\nType of collector will determine the substance the pistol can fire, while dispenser will determine in what form the substance is fired.",
extracttoxin,"A number of bodily fluids, such as blood, toxins, and acid, can extracted be from organs of various creatures.",
processplant,Various useful chemicals can be extracted from plants and mushrooms.,
extracttoxin-old,Toxins can be extracted from organs of various creatures.,
chemicalbolt,"Crossbow bolts can carry various substances that they inject upon impact, such as poisons and tranquilizers.",
mechanicalbolt-old,"You can create special mechanical bolts by adding extra features to the bolt's head, such as serrated blades.",
mechanicalbolt,You can create serrated bolts by adding serrated blades to the bolt's head.,
broadheadbolt,You can create broadhead bolts if you have appropriate bolt tip.,
shockbolt,"A shock bolt is created by attaching a number of micro electroshock dischargers to a regular bolt. The number of dischargers determines the power of the shock bolt, but also the crafting difficulty. \n\nA sufficiently powerful energy battery is required to charge up the bolt.",
incendiarybolt,An incendiary bolt is created by attaching a vial of any highly incendiary substance to the tip of a regular bolt.,
